video_id,jahr,datum_text,titel,seiten_url
1963373,2019,13 ноября 57 мин Эфир от 13.11.2019 (12:50). По горячим следам,13 ноября,https://smotrim.ru/video/1963373
1963104,2019,12 ноября 57 мин Эфир от 12.11.2019 (18:50). Украинский нардеп пришел в Раду в маске Джокера,12 ноября,https://smotrim.ru/video/1963104
1962944,2019,12 ноября 57 мин Эфир от 12.11.2019 (12:50). По горячим следам,12 ноября,https://smotrim.ru/video/1962944
1962712,2019,11 ноября 57 мин Эфир от 11.11.2019 (18:50). Молчать за мир,11 ноября,https://smotrim.ru/video/1962712
1962530,2019,11 ноября 57 мин Эфир от 11.11.2019 (12:50). По горячим следам,11 ноября,https://smotrim.ru/video/1962530
1961848,2019,8 ноября 58 мин Эфир от 08.11.2019 (18:50). Футболист оправдал домашнее насилие,8 ноября,https://smotrim.ru/video/1961848
1961676,2019,8 ноября 57 мин Эфир от 08.11.2019 (12:50). По горячим следам,8 ноября,https://smotrim.ru/video/1961676
1961425,2019,7 ноября 58 мин Эфир от 07.11.2019 (18:50). Третий пол,7 ноября,https://smotrim.ru/video/1961425
1961264,2019,7 ноября 57 мин Эфир от 07.11.2019 (12:50). По горячим следам,7 ноября,https://smotrim.ru/video/1961264
1961038,2019,"6 ноября 58 мин Эфир от 06.11.2019 (18:50). ""Я в шоке"": Зеленский нечаянно выдал гостайну",6 ноября,https://smotrim.ru/video/1961038
1960825,2019,6 ноября 58 мин Эфир от 06.11.2019 (12:50),6 ноября,https://smotrim.ru/video/1960825
1960593,2019,"5 ноября 58 мин Эфир от 05.11.2019 (18:50). Украина слезла с российской газовой иглы, но подсела на ",5 ноября,https://smotrim.ru/video/1960593
1960399,2019,5 ноября 57 мин Эфир от 05.11.2019 (12:50). По горячим следам,5 ноября,https://smotrim.ru/video/1960399
1959647,2019,1 ноября 57 мин Эфир от 01.11.2019 (18:50). Украина требует репарации,1 ноября,https://smotrim.ru/video/1959647
1959479,2019,1 ноября 56 мин Эфир от 01.11.2019 (12:50). По горячим следам,1 ноября,https://smotrim.ru/video/1959479
1959249,2019,31 октября 4 мин Эфир от 31.10.2019 (18:50). Главный международник Зеленского подмочил репутацию,31 октября,https://smotrim.ru/video/1959249
1959077,2019,31 октября 57 мин Эфир от 31.10.2019 (12:50). По горячим следам,31 октября,https://smotrim.ru/video/1959077
1958832,2019,30 октября 58 мин Эфир от 30.10.2019 (18:50). Президент-фантазер,30 октября,https://smotrim.ru/video/1958832
1958664,2019,30 октября 57 мин Эфир от 30.10.2019 (12:50). По горячим следам,30 октября,https://smotrim.ru/video/1958664
1958419,2019,29 октября 58 мин Эфир от 29.10.2019 (18:50). Развод войск в Золотом,29 октября,https://smotrim.ru/video/1958419
1958234,2019,29 октября 58 мин Эфир от 29.10.2019 (12:50). По горячим следам,29 октября,https://smotrim.ru/video/1958234
1958007,2019,28 октября 57 мин Эфир от 28.10.2019 (18:50). Зеленского пообещали убить,28 октября,https://smotrim.ru/video/1958007
1957812,2019,28 октября 57 мин Эфир от 28.10.2019 (12:50). По горячим следам,28 октября,https://smotrim.ru/video/1957812
1957193,2019,25 октября 58 мин Эфир от 25.10.2019 (18:50). НАТО хотят испытать на себе русские 40 градусов,25 октября,https://smotrim.ru/video/1957193
1957014,2019,25 октября 57 мин Эфир от 25.10.2019 (12:50). По горячим следам,25 октября,https://smotrim.ru/video/1957014
1956769,2019,24 октября 58 мин Эфир от 24.10.2019 (18:50). Полиграф-шоу на Украине,24 октября,https://smotrim.ru/video/1956769
1956577,2019,24 октября 58 мин Эфир от 24.10.2019 (12:50). По горячим следам,24 октября,https://smotrim.ru/video/1956577
1956321,2019,23 октября 58 мин Эфир от 23.10.2019 (18:50). Зеленский встретился со Штайнмайером,23 октября,https://smotrim.ru/video/1956321
1956140,2019,23 октября 57 мин Эфир от 23.10.2019 (12:50). По горячим следам,23 октября,https://smotrim.ru/video/1956140
1955908,2019,22 октября 58 мин Эфир от 22.10.2019 (18:50). Украину обвиняют в пособничестве терроризму,22 октября,https://smotrim.ru/video/1955908
1955727,2019,22 октября 57 мин Эфир от 22.10.2019 (12:50). По горячим следам,22 октября,https://smotrim.ru/video/1955727
1955474,2019,21 октября 58 мин Эфир от 21.10.2019 (18:50). Жертвам перестройки предлагается платить,21 октября,https://smotrim.ru/video/1955474
1955318,2019,21 октября 57 мин Эфир от 21.10.2019 (12:50). По горячим следам,21 октября,https://smotrim.ru/video/1955318
1954629,2019,"18 октября 57 мин Эфир от 18.10.2019 (18:50). ""Реестр секса"" на Украине",18 октября,https://smotrim.ru/video/1954629
1954451,2019,18 октября 57 мин Эфир от 18.10.2019 (12:50). По горячим следам,18 октября,https://smotrim.ru/video/1954451
1954209,2019,17 октября 57 мин Эфир от 17.10.2019 (18:50). Трамп написал Эрдогану письмо с призывом не быть дурак,17 октября,https://smotrim.ru/video/1954209
1954063,2019,17 октября 57 мин Эфир от 17.10.2019 (12:50). По горячим следам,17 октября,https://smotrim.ru/video/1954063
1953845,2019,16 октября 57 мин Эфир от 16.10.2019 (18:50). Киев потребовал от ЛНР и ДНР самороспуска и отказа от ,16 октября,https://smotrim.ru/video/1953845
1953671,2019,16 октября 57 мин Эфир от 16.10.2019 (12:50). По горячим следам,16 октября,https://smotrim.ru/video/1953671
1953438,2019,15 октября 57 мин Эфир от 15.10.2019 (18:50). Украина отказалась согласовывать новый план по разведе,15 октября,https://smotrim.ru/video/1953438
1953284,2019,15 октября 57 мин Эфир от 15.10.2019 (12:50). По горячим следам,15 октября,https://smotrim.ru/video/1953284
1953066,2019,14 октября 57 мин Эфир от 14.10.2019 (18:50). Украинские националисты объявили Зеленскому бессрочный,14 октября,https://smotrim.ru/video/1953066
1952908,2019,14 октября 58 мин Эфир от 14.10.2019 (12:50). По горячим следам,14 октября,https://smotrim.ru/video/1952908
1952276,2019,11 октября 57 мин Эфир от 11.10.2019 (18:50). Мораторий на смертную казнь: за и против,11 октября,https://smotrim.ru/video/1952276
1952097,2019,11 октября 58 мин Эфир от 11.10.2019 (12:50). По горячим следам,11 октября,https://smotrim.ru/video/1952097
1951846,2019,10 октября 58 мин Эфир от 10.10.2019 (18:50). Зеленского посадили на шпагат,10 октября,https://smotrim.ru/video/1951846
1951619,2019,10 октября 57 мин Эфир от 10.10.2019 (12:50). По горячим следам,10 октября,https://smotrim.ru/video/1951619
1951390,2019,9 октября 58 мин Эфир от 09.10.2019 (18:50). Разведение сил в Донбассе официально сорвано,9 октября,https://smotrim.ru/video/1951390
1951239,2019,9 октября 57 мин Эфир от 09.10.2019 (12:50). По горячим следам,9 октября,https://smotrim.ru/video/1951239
1951004,2019,8 октября 59 мин Эфир от 08.10.2019 (18:50). Украинские националисты объявили мобилизацию,8 октября,https://smotrim.ru/video/1951004
1950853,2019,8 октября 58 мин Эфир от 08.10.2019 (12:50). По горячим следам,8 октября,https://smotrim.ru/video/1950853
1950617,2019,7 октября 57 мин Эфир от 07.10.2019 (18:50). На Украине сорвано разведение войск,7 октября,https://smotrim.ru/video/1950617
1950451,2019,7 октября 58 мин Эфир от 07.10.2019 (12:50). По горячим следам,7 октября,https://smotrim.ru/video/1950451
1949773,2019,4 октября 58 мин Эфир от 04.10.2019 (18:50). Лукашенко назвал Украину Россией,4 октября,https://smotrim.ru/video/1949773
1949633,2019,4 октября 57 мин Эфир от 04.10.2019. По горячим следам,4 октября,https://smotrim.ru/video/1949633
1949374,2019,"3 октября 58 мин Эфир от 03.10.2019 (18:50). На Украине разъяснили на пальцах ""формулу Штайнмайера""",3 октября,https://smotrim.ru/video/1949374
1949234,2019,3 октября 57 мин Эфир от 03.10.2019 (12:50). По горячим следам,3 октября,https://smotrim.ru/video/1949234
1948979,2019,"2 октября 57 мин Эфир от 02.10.2019 (18:50). ""Формула Штайнмайера"" и истерика на Украине",2 октября,https://smotrim.ru/video/1948979
1948803,2019,2 октября 57 мин Эфир от 02.10.2019 (12:50). По горячим следам,2 октября,https://smotrim.ru/video/1948803
1948547,2019,"1 октября 58 мин Эфир от 01.10.2019 (18:50). В Минске подписали ""формулу Штайнмайера""",1 октября,https://smotrim.ru/video/1948547
1948379,2019,1 октября 58 мин Эфир от 01.10.2019. По горячим следам,1 октября,https://smotrim.ru/video/1948379
1948139,2019,30 сентября 58 мин Эфир от 30.09.2019 (18:50). Зеленский впервые появился перед камерами после приле,30 сентября,https://smotrim.ru/video/1948139
1947944,2019,30 сентября 58 мин Эфир от 30.09.2019 (12:50). По горячим следам,30 сентября,https://smotrim.ru/video/1947944
1947291,2019,"27 сентября 58 мин Эфир от 27.09.2019 (18:50). Трамп рассказал, как узнал Украину ""с разных сторон""",27 сентября,https://smotrim.ru/video/1947291
1947119,2019,27 сентября 57 мин Эфир от 27.09.2019 (12:50). По горячим следам,27 сентября,https://smotrim.ru/video/1947119
1946894,2019,26 сентября 58 мин Эфир от 26.09.2019 (18:50). Зеленский бледно выглядел на встрече с Трампом,26 сентября,https://smotrim.ru/video/1946894
1946720,2019,26 сентября 58 мин Эфир от 26.09.2019 (12:50). По горячим следам,26 сентября,https://smotrim.ru/video/1946720
1946456,2019,25 сентября 58 мин Эфир от 25.09.2019 (18:50). Трамп и Зеленский наговорили на импичмент,25 сентября,https://smotrim.ru/video/1946456
1946291,2019,25 сентября 57 мин Эфир от 25.09.2019 (12:50). По горячим следам,25 сентября,https://smotrim.ru/video/1946291
1946034,2019,24 сентября 57 мин Эфир от 24.09.2019 (18:50). В Нью-Йорке Зеленский пообещал вернуть Украине террит,24 сентября,https://smotrim.ru/video/1946034
1945881,2019,24 сентября 58 мин Эфир от 24.09.2019 (12:50). По горячим следам,24 сентября,https://smotrim.ru/video/1945881
1945635,2019,23 сентября 49 мин Эфир от 23.09.2019 (18:50). Зеленский подставил Трампа,23 сентября,https://smotrim.ru/video/1945635
1945475,2019,23 сентября 57 мин Эфир от 23.09.2019 (12:50). По горячим следам,23 сентября,https://smotrim.ru/video/1945475
1944804,2019,20 сентября 57 мин Эфир от 20.09.2019 (18:50). Земельная реформа Зеленского,20 сентября,https://smotrim.ru/video/1944804
1944636,2019,20 сентября 57 мин Эфир от 20.09.2019 (12:50). По горячим следам,20 сентября,https://smotrim.ru/video/1944636
1944379,2019,19 сентября 58 мин Эфир от 19.09.2019 (18:50). Российско-украинские газовые переговоры,19 сентября,https://smotrim.ru/video/1944379
1944220,2019,19 сентября 57 мин Эфир от 19.09.2019 (12:50). По горячим следам,19 сентября,https://smotrim.ru/video/1944220
1943971,2019,18 сентября 58 мин Эфир от 18.09.2019 (18:50). Зеленский теряет возможность для улучшения обстановки,18 сентября,https://smotrim.ru/video/1943971
1943835,2019,18 сентября 57 мин Эфир от 18.09.2019 (12:50). По горячим следам,18 сентября,https://smotrim.ru/video/1943835
1943597,2019,17 сентября 57 мин Эфир от 17.09.2019 (18:50). Формула Зеленского,17 сентября,https://smotrim.ru/video/1943597
1943436,2019,17 сентября 57 мин Эфир от 17.09.2019 (12:50). По горячим следам,17 сентября,https://smotrim.ru/video/1943436
1943201,2019,16 сентября 57 мин Эфир от 16.09.2019 (18:50). Украинские радикалы хотят вернуть территорию Донбасса,16 сентября,https://smotrim.ru/video/1943201
1943058,2019,16 сентября 58 мин Эфир от 16.09.2019 (12:50). По горячим следам,16 сентября,https://smotrim.ru/video/1943058
1942387,2019,"13 сентября 57 мин Эфир от 13.09.2019 (18:50). Зеленский не ответил, что скажет Путину",13 сентября,https://smotrim.ru/video/1942387
1942220,2019,13 сентября 56 мин Эфир от 13.09.2019 (12:50). По горячим следам,13 сентября,https://smotrim.ru/video/1942220
1941970,2019,12 сентября 57 мин Эфир от 12.09.2019 (18:50). Глава ДНР Пушилин сообщил о намерении Донбасса войти ,12 сентября,https://smotrim.ru/video/1941970
1941825,2019,12 сентября 57 мин Эфир от 12.09.2019 (12:50). По горячим следам,12 сентября,https://smotrim.ru/video/1941825
1941581,2019,11 сентября 58 мин Эфир от 11.09.2019 (18:50). Зеленский заявил о подготовке госпереворота на Украин,11 сентября,https://smotrim.ru/video/1941581
1941407,2019,11 сентября 57 мин Эфир от 11.09.2019 (12:50). По горячим следам,11 сентября,https://smotrim.ru/video/1941407
1941146,2019,10 сентября 57 мин Эфир от 10.09.2019 (18:50). Украина снова отказалась от российской скидки на газ,10 сентября,https://smotrim.ru/video/1941146
1940988,2019,10 сентября 57 мин Эфир от 10.09.2019 (12:50). По горячим следам,10 сентября,https://smotrim.ru/video/1940988
1940766,2019,9 сентября 57 мин Эфир от 09.09.2019 (18:50). Украинские моряки готовы снова нарушить границу РФ,9 сентября,https://smotrim.ru/video/1940766
1940613,2019,9 сентября 57 мин Эфир от 09.09.2019 (12:50). По горячим следам,9 сентября,https://smotrim.ru/video/1940613
1939956,2019,6 сентября 57 мин Эфир от 06.09.2019 (18:50). Донбасс мира не дождется,6 сентября,https://smotrim.ru/video/1939956
1939794,2019,6 сентября 57 мин Эфир от 06.09.2019 (12:50). По горячим следам,6 сентября,https://smotrim.ru/video/1939794
1939556,2019,"5 сентября 57 мин Эфир от 05.09.2019 (18:50). Путин объявил, что обмен заключенными с Украиной будет",5 сентября,https://smotrim.ru/video/1939556
1939440,2019,5 сентября 1 мин Почему Медведчук мешает Зеленскому (Эфир от 05.09.2019),5 сентября,https://smotrim.ru/video/1939440
1939414,2019,5 сентября 58 мин Эфир от 05.09.2019 (12:50). По горячим следам,5 сентября,https://smotrim.ru/video/1939414
1939123,2019,"4 сентября 58 мин Эфир от 04.09.2019 (18:50). США вводят санкции против ""Северного потока-2""",4 сентября,https://smotrim.ru/video/1939123
1938946,2019,4 сентября 58 мин Эфир от 04.09.2019 (12:50). По горячим следам,4 сентября,https://smotrim.ru/video/1938946
1938656,2019,3 сентября 57 мин Эфир от 03.09.2019 (18:50). На Украине депутаты Рады сняли с себя неприкосновеннос,3 сентября,https://smotrim.ru/video/1938656
1938459,2019,3 сентября 48 мин Эфир от 03.09.2019 (12:50). По горячим следам,3 сентября,https://smotrim.ru/video/1938459
1938235,2019,2 сентября 57 мин Эфир от 02.09.2019 (18:50). Украину пустят с молотка,2 сентября,https://smotrim.ru/video/1938235
1938078,2019,2 сентября 57 мин Эфир от 02.09.2019 (12:50). По горячим следам,2 сентября,https://smotrim.ru/video/1938078
1937507,2019,30 августа 58 мин Эфир от 30.08.2019 (18:50). Зеленского пригласят в Москву на 9 мая,30 августа,https://smotrim.ru/video/1937507
